Week ending,Group,DHB of service,Dose number,# doses administered
2021-04-11,Group 2,Southern,1,2264
2021-04-11,Group 2,Taranaki,1,169
2021-04-11,Group 2,Taranaki,2,83
2021-04-11,Group 2,Waikato,1,1104
2021-04-11,Group 2,Waikato,2,659
2021-04-11,Group 2,Wairarapa,1,115
2021-04-11,Group 2,West Coast,1,24
2021-04-11,Group 2,Whanganui,1,176
2021-04-11,Group 3,Auckland Metro,1,6
2021-04-11,Group 3,Capital & Coast and Hutt Valley,1,24
2021-04-11,Group 3,Nelson Marlborough,1,1138
2021-04-11,Group 3,Other Sites,1,12
2021-04-11,Group 3,Southern,1,17
2021-04-18,Group 1,Auckland Metro,1,2057
2021-04-18,Group 1,Auckland Metro,2,2512
2021-04-18,Group 1,Bay of Plenty,1,61
2021-04-18,Group 1,Bay of Plenty,2,250
2021-04-18,Group 1,Canterbury,1,1170
2021-04-18,Group 1,Canterbury,2,396
2021-04-18,Group 1,Capital & Coast and Hutt Valley,1,509
2021-04-18,Group 1,Capital & Coast and Hutt Valley,2,207
2021-04-18,Group 1,Hawke's Bay,1,95
2021-04-18,Group 1,Hawke's Bay,2,52
2021-04-18,Group 1,Lakes,1,175
2021-04-18,Group 1,Lakes,2,52
2021-04-18,Group 1,MidCentral,1,119
2021-04-18,Group 1,MidCentral,2,7
2021-04-18,Group 1,Nelson Marlborough,1,65
2021-04-18,Group 1,Nelson Marlborough,2,63
2021-04-18,Group 1,Northland,1,40
2021-04-18,Group 1,Northland,2,85
2021-04-18,Group 1,Other Sites,2,52
2021-04-18,Group 1,South Canterbury,1,31
2021-04-18,Group 1,South Canterbury,2,7
2021-04-18,Group 1,Southern,1,869
2021-04-18,Group 1,Southern,2,350
2021-04-18,Group 1,Tairawhiti,1,11
2021-04-18,Group 1,Tairawhiti,2,42
2021-04-18,Group 1,Taranaki,1,20
2021-04-18,Group 1,Taranaki,2,73
2021-04-18,Group 1,Waikato,1,96
2021-04-18,Group 1,Waikato,2,161
2021-04-18,Group 2,Auckland Metro,1,10877
2021-04-18,Group 2,Auckland Metro,2,964
2021-04-18,Group 2,Bay of Plenty,1,911
2021-04-18,Group 2,Bay of Plenty,2,64
2021-04-18,Group 2,Canterbury,1,4337
2021-04-18,Group 2,Canterbury,2,149
2021-04-18,Group 2,Capital & Coast and Hutt Valley,1,3195
2021-04-18,Group 2,Capital & Coast and Hutt Valley,2,854
2021-04-18,Group 2,Hawke's Bay,1,842
2021-04-18,Group 2,Hawke's Bay,2,265
2021-04-18,Group 2,Lakes,1,567
2021-04-18,Group 2,Lakes,2,105
2021-04-18,Group 2,MidCentral,1,208
2021-04-18,Group 2,MidCentral,2,11
2021-04-18,Group 2,Nelson Marlborough,1,1214
2021-04-18,Group 2,Nelson Marlborough,2,467
2021-04-18,Group 2,Northland,1,1536
2021-04-18,Group 2,Northland,2,29
2021-04-18,Group 2,Other Sites,1,239
2021-04-18,Group 2,Other Sites,2,2818
2021-04-18,Group 2,South Canterbury,1,606
2021-04-18,Group 2,South Canterbury,2,37
2021-04-18,Group 2,Southern,1,3878
2021-04-18,Group 2,Southern,2,111
2021-04-18,Group 2,Tairawhiti,1,671
2021-04-18,Group 2,Tairawhiti,2,46
2021-04-18,Group 2,Taranaki,1,261
2021-04-18,Group 2,Taranaki,2,64
2021-04-18,Group 2,Waikato,1,1927
2021-04-18,Group 2,Waikato,2,755
2021-04-18,Group 2,Wairarapa,1,473
2021-04-18,Group 2,West Coast,1,125
2021-04-18,Group 2,Whanganui,1,506
2021-04-18,Group 3,Auckland Metro,1,22
2021-04-18,Group 3,Canterbury,1,20
2021-04-18,Group 3,Capital & Coast and Hutt Valley,1,24
2021-04-18,Group 3,MidCentral,1,22
2021-04-18,Group 3,Nelson Marlborough,1,611
2021-04-18,Group 3,Northland,1,40
2021-04-18,Group 3,Southern,1,140
2021-04-18,Group 3,Waikato,1,29
2021-04-25,Group 1,Auckland Metro,1,2156
2021-04-25,Group 1,Auckland Metro,2,1984
2021-04-25,Group 1,Bay of Plenty,1,88
2021-04-25,Group 1,Bay of Plenty,2,163
2021-04-25,Group 1,Canterbury,1,1054
2021-04-25,Group 1,Canterbury,2,373
2021-04-25,Group 1,Capital & Coast and Hutt Valley,1,204
2021-04-25,Group 1,Capital & Coast and Hutt Valley,2,354
2021-04-25,Group 1,Hawke's Bay,1,27
2021-04-25,Group 1,Hawke's Bay,2,33
2021-04-25,Group 1,Lakes,1,192
2021-04-25,Group 1,Lakes,2,56
2021-04-25,Group 1,MidCentral,1,54
2021-04-25,Group 1,MidCentral,2,73
2021-04-25,Group 1,Nelson Marlborough,1,69
2021-04-25,Group 1,Nelson Marlborough,2,49
2021-04-25,Group 1,Northland,1,32
2021-04-25,Group 1,Northland,2,91
2021-04-25,Group 1,Other Sites,2,43
2021-04-25,Group 1,South Canterbury,1,12
2021-04-25,Group 1,South Canterbury,2,44
2021-04-25,Group 1,Southern,1,49
2021-04-25,Group 1,Southern,2,65
2021-04-25,Group 1,Tairawhiti,1,11
2021-04-25,Group 1,Taranaki,1,17
2021-04-25,Group 1,Taranaki,2,33
2021-04-25,Group 1,Waikato,1,68
2021-04-25,Group 1,Waikato,2,113
2021-04-25,Group 1,Whanganui,1,12
2021-04-25,Group 2,Auckland Metro,1,7597
2021-04-25,Group 2,Auckland Metro,2,5483
2021-04-25,Group 2,Bay of Plenty,1,1527
2021-04-25,Group 2,Bay of Plenty,2,277
2021-04-25,Group 2,Canterbury,1,5583
2021-04-25,Group 2,Canterbury,2,102
2021-04-25,Group 2,Capital & Coast and Hutt Valley,1,1932
2021-04-25,Group 2,Capital & Coast and Hutt Valley,2,2530
2021-04-25,Group 2,Hawke's Bay,1,1267
2021-04-25,Group 2,Hawke's Bay,2,84
2021-04-25,Group 2,Lakes,1,1302
2021-04-25,Group 2,Lakes,2,61
2021-04-25,Group 2,MidCentral,1,853
2021-04-25,Group 2,MidCentral,2,16
2021-04-25,Group 2,Nelson Marlborough,1,1256
2021-04-25,Group 2,Nelson Marlborough,2,1065
2021-04-25,Group 2,Northland,1,1337
2021-04-25,Group 2,Northland,2,169
2021-04-25,Group 2,Other Sites,1,503
2021-04-25,Group 2,Other Sites,2,1628
2021-04-25,Group 2,South Canterbury,1,721
2021-04-25,Group 2,South Canterbury,2,411
2021-04-25,Group 2,Southern,1,2485
2021-04-25,Group 2,Southern,2,1251
2021-04-25,Group 2,Tairawhiti,1,609
2021-04-25,Group 2,Tairawhiti,2,6
2021-04-25,Group 2,Taranaki,1,205
2021-04-25,Group 2,Taranaki,2,195
2021-04-25,Group 2,Waikato,1,3164
2021-04-25,Group 2,Waikato,2,795
2021-04-25,Group 2,Wairarapa,1,503
2021-04-25,Group 2,West Coast,1,303
2021-04-25,Group 2,Whanganui,1,768
2021-04-25,Group 2,Whanganui,2,77
2021-04-25,Group 3,Auckland Metro,1,48
2021-04-25,Group 3,Canterbury,1,21
2021-04-25,Group 3,Capital & Coast and Hutt Valley,1,51
2021-04-25,Group 3,Capital & Coast and Hutt Valley,2,9
2021-04-25,Group 3,Hawke's Bay,1,52
2021-04-25,Group 3,Lakes,1,5
2021-04-25,Group 3,Nelson Marlborough,1,875
2021-04-25,Group 3,Nelson Marlborough,2,512
2021-04-25,Group 3,Northland,1,114
2021-04-25,Group 3,Southern,1,101
2021-04-25,Group 3,Southern,2,5
2021-04-25,Group 3,Waikato,1,111
2021-04-25,Group 3,Whanganui,1,5
2021-05-02,Group 1,Auckland Metro,1,1854
2021-05-02,Group 1,Auckland Metro,2,1617
2021-05-02,Group 1,Bay of Plenty,1,111
2021-05-02,Group 1,Bay of Plenty,2,88
2021-05-02,Group 1,Canterbury,1,879
2021-05-02,Group 1,Canterbury,2,409
2021-05-02,Group 1,Capital & Coast and Hutt Valley,1,250
2021-05-02,Group 1,Capital & Coast and Hutt Valley,2,482
2021-05-02,Group 1,Hawke's Bay,1,25
2021-05-02,Group 1,Hawke's Bay,2,26
2021-05-02,Group 1,Lakes,1,262
2021-05-02,Group 1,Lakes,2,97
2021-05-02,Group 1,MidCentral,1,38
2021-05-02,Group 1,MidCentral,2,128
2021-05-02,Group 1,Nelson Marlborough,1,56
2021-05-02,Group 1,Nelson Marlborough,2,37
2021-05-02,Group 1,Northland,1,17
2021-05-02,Group 1,Northland,2,44
2021-05-02,Group 1,Other Sites,2,42
2021-05-02,Group 1,South Canterbury,1,6
2021-05-02,Group 1,South Canterbury,2,61
2021-05-02,Group 1,Southern,1,157
2021-05-02,Group 1,Southern,2,77
2021-05-02,Group 1,Tairawhiti,1,14
2021-05-02,Group 1,Taranaki,1,12
2021-05-02,Group 1,Taranaki,2,27
2021-05-02,Group 1,Waikato,1,47
2021-05-02,Group 1,Waikato,2,64
2021-05-02,Group 1,Wairarapa,1,7
2021-05-02,Group 1,West Coast,2,7
2021-05-02,Group 2,Auckland Metro,1,7933
2021-05-02,Group 2,Auckland Metro,2,7763
2021-05-02,Group 2,Bay of Plenty,1,1963
2021-05-02,Group 2,Bay of Plenty,2,356
2021-05-02,Group 2,Canterbury,1,4557
2021-05-02,Group 2,Canterbury,2,69
2021-05-02,Group 2,Capital & Coast and Hutt Valley,1,1974
2021-05-02,Group 2,Capital & Coast and Hutt Valley,2,3000
2021-05-02,Group 2,Hawke's Bay,1,1635
2021-05-02,Group 2,Hawke's Bay,2,454
2021-05-02,Group 2,Lakes,1,706
2021-05-02,Group 2,Lakes,2,509
2021-05-02,Group 2,MidCentral,1,1062
2021-05-02,Group 2,MidCentral,2,16
2021-05-02,Group 2,Nelson Marlborough,1,1337
2021-05-02,Group 2,Nelson Marlborough,2,657
2021-05-02,Group 2,Northland,1,2185
2021-05-02,Group 2,Northland,2,924
2021-05-02,Group 2,Other Sites,1,311
2021-05-02,Group 2,Other Sites,2,645
2021-05-02,Group 2,South Canterbury,1,614
2021-05-02,Group 2,South Canterbury,2,272
2021-05-02,Group 2,Southern,1,1349
2021-05-02,Group 2,Southern,2,1540
2021-05-02,Group 2,Tairawhiti,1,205
2021-05-02,Group 2,Tairawhiti,2,6
2021-05-02,Group 2,Taranaki,1,309
2021-05-02,Group 2,Taranaki,2,251
2021-05-02,Group 2,Waikato,1,3175
2021-05-02,Group 2,Waikato,2,806
2021-05-02,Group 2,Wairarapa,1,501
2021-05-02,Group 2,Wairarapa,2,81
2021-05-02,Group 2,West Coast,1,364
2021-05-02,Group 2,West Coast,2,19
2021-05-02,Group 2,Whanganui,1,682
2021-05-02,Group 2,Whanganui,2,135
2021-05-02,Group 3,Auckland Metro,1,319
2021-05-02,Group 3,Bay of Plenty,1,17
2021-05-02,Group 3,Canterbury,1,18
2021-05-02,Group 3,Capital & Coast and Hutt Valley,1,84
2021-05-02,Group 3,Capital & Coast and Hutt Valley,2,23
2021-05-02,Group 3,Lakes,1,74
2021-05-02,Group 3,Nelson Marlborough,1,505
2021-05-02,Group 3,Nelson Marlborough,2,848
2021-05-02,Group 3,Northland,1,585
2021-05-02,Group 3,Other Sites,2,13
2021-05-02,Group 3,South Canterbury,1,6
2021-05-02,Group 3,Southern,1,21
2021-05-02,Group 3,Southern,2,10
2021-05-02,Group 3,Waikato,1,216
2021-05-02,Group 3,Wairarapa,1,28
2021-05-02,Group 3,West Coast,1,7
2021-05-02,Group 3,Whanganui,1,18
2021-05-09,Group 1,Auckland Metro,1,1362
2021-05-09,Group 1,Auckland Metro,2,1805
2021-05-09,Group 1,Bay of Plenty,1,82
2021-05-09,Group 1,Bay of Plenty,2,73
2021-05-09,Group 1,Canterbury,1,721
2021-05-09,Group 1,Canterbury,2,850
2021-05-09,Group 1,Capital & Coast and Hutt Valley,1,483
2021-05-09,Group 1,Capital & Coast and Hutt Valley,2,585
2021-05-09,Group 1,Hawke's Bay,1,17
2021-05-09,Group 1,Hawke's Bay,2,64
2021-05-09,Group 1,Lakes,1,243
2021-05-09,Group 1,Lakes,2,118
2021-05-09,Group 1,MidCentral,1,26
2021-05-09,Group 1,MidCentral,2,136
2021-05-09,Group 1,Nelson Marlborough,1,58
2021-05-09,Group 1,Nelson Marlborough,2,84
2021-05-09,Group 1,Northland,2,32
2021-05-09,Group 1,Other Sites,1,620
2021-05-09,Group 1,Other Sites,2,54
2021-05-09,Group 1,South Canterbury,2,33
2021-05-09,Group 1,Southern,1,102
2021-05-09,Group 1,Southern,2,597
2021-05-09,Group 1,Tairawhiti,1,6
2021-05-09,Group 1,Tairawhiti,2,9
2021-05-09,Group 1,Taranaki,1,12
2021-05-09,Group 1,Taranaki,2,21
2021-05-09,Group 1,Waikato,1,42
2021-05-09,Group 1,Waikato,2,83
2021-05-09,Group 1,West Coast,2,5
2021-05-09,Group 2,Auckland Metro,1,12000
2021-05-09,Group 2,Auckland Metro,2,10555
2021-05-09,Group 2,Bay of Plenty,1,2790
2021-05-09,Group 2,Bay of Plenty,2,677
2021-05-09,Group 2,Canterbury,1,3958
2021-05-09,Group 2,Canterbury,2,1487
2021-05-09,Group 2,Capital & Coast and Hutt Valley,1,3384
2021-05-09,Group 2,Capital & Coast and Hutt Valley,2,3661
2021-05-09,Group 2,Hawke's Bay,1,2195
2021-05-09,Group 2,Hawke's Bay,2,756
2021-05-09,Group 2,Lakes,1,853
2021-05-09,Group 2,Lakes,2,533
2021-05-09,Group 2,MidCentral,1,1911
2021-05-09,Group 2,MidCentral,2,167
2021-05-09,Group 2,Nelson Marlborough,1,722
2021-05-09,Group 2,Nelson Marlborough,2,1070
2021-05-09,Group 2,Northland,1,2008
2021-05-09,Group 2,Northland,2,1310
2021-05-09,Group 2,Other Sites,1,1978
2021-05-09,Group 2,Other Sites,2,167
2021-05-09,Group 2,South Canterbury,1,623
2021-05-09,Group 2,South Canterbury,2,590
2021-05-09,Group 2,Southern,1,1574
2021-05-09,Group 2,Southern,2,2721
2021-05-09,Group 2,Tairawhiti,1,113
2021-05-09,Group 2,Tairawhiti,2,574
2021-05-09,Group 2,Taranaki,1,574
2021-05-09,Group 2,Taranaki,2,272
2021-05-09,Group 2,Waikato,1,2961
2021-05-09,Group 2,Waikato,2,1523
2021-05-09,Group 2,Wairarapa,1,481
2021-05-09,Group 2,Wairarapa,2,279
2021-05-09,Group 2,West Coast,1,421
2021-05-09,Group 2,West Coast,2,102
2021-05-09,Group 2,Whanganui,1,796
2021-05-09,Group 2,Whanganui,2,445
2021-05-09,Group 3,Auckland Metro,1,1086
2021-05-09,Group 3,Auckland Metro,2,13
2021-05-09,Group 3,Bay of Plenty,1,1092
2021-05-09,Group 3,Canterbury,1,56
2021-05-09,Group 3,Canterbury,2,13
2021-05-09,Group 3,Capital & Coast and Hutt Valley,1,468
2021-05-09,Group 3,Capital & Coast and Hutt Valley,2,19
2021-05-09,Group 3,Hawke's Bay,1,17
2021-05-09,Group 3,Lakes,1,373
2021-05-09,Group 3,MidCentral,1,16
2021-05-09,Group 3,MidCentral,2,16
2021-05-09,Group 3,Nelson Marlborough,1,1567
2021-05-09,Group 3,Nelson Marlborough,2,772
2021-05-09,Group 3,Northland,1,263
2021-05-09,Group 3,Northland,2,17
2021-05-09,Group 3,Other Sites,1,7
2021-05-09,Group 3,South Canterbury,1,243
2021-05-09,Group 3,Southern,1,26
2021-05-09,Group 3,Southern,2,42
2021-05-09,Group 3,Waikato,1,647
2021-05-09,Group 3,Waikato,2,21
2021-05-09,Group 3,Wairarapa,1,28
2021-05-09,Group 3,West Coast,1,24
2021-05-09,Group 3,Whanganui,1,186
2021-05-16,Group 1,Auckland Metro,1,844
2021-05-16,Group 1,Auckland Metro,2,1896
2021-05-16,Group 1,Bay of Plenty,1,24
2021-05-16,Group 1,Bay of Plenty,2,66
2021-05-16,Group 1,Canterbury,1,562
2021-05-16,Group 1,Canterbury,2,1118
2021-05-16,Group 1,Capital & Coast and Hutt Valley,1,354
2021-05-16,Group 1,Capital & Coast and Hutt Valley,2,210
